UserName,Name,Service,Host
DC1$,DC1,ldap,"WIN-V965JTH305K,DC1,dc1.vulnad.local,8ebd247e-9cdd-4ca5-9166-828610007214._msdcs.vulnad.local"
DC1$,DC1,HOST,"WIN-V965JTH305K,DC1,dc1.vulnad.local"
DC1$,DC1,GC,"DC1,WIN-V965JTH305K,dc1.vulnad.local"
DC1$,DC1,TERMSRV,"WIN-V965JTH305K,DC1,dc1.vulnad.local"
DC1$,DC1,RestrictedKrbHost,"WIN-V965JTH305K,dc1.vulnad.local,DC1"
DC1$,DC1,Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04,dc1.vulnad.local
DC1$,DC1,DNS,dc1.vulnad.local
DC1$,DC1,RPC,8ebd247e-9cdd-4ca5-9166-828610007214._msdcs.vulnad.local
DC1$,DC1,E3514235-4B06-11D1-AB04-00C04FC2DCD2,8ebd247e-9cdd-4ca5-9166-828610007214
WIN11-DEV$,WIN11-DEV,TERMSRV,"win11-dev.vulnad.local,WIN11-DEV"
WIN11-DEV$,WIN11-DEV,RestrictedKrbHost,"win11-dev.vulnad.local,WIN11-DEV"
WIN11-DEV$,WIN11-DEV,HOST,"win11-dev.vulnad.local,WIN11-DEV"
FakeMachine03$,FakeMachine03,RestrictedKrbHost,"FakeMachine03,FakeMachine03.vulnad.local"
FakeMachine03$,FakeMachine03,HOST,"FakeMachine03,FakeMachine03.vulnad.local"
mssql_svc$,mssql_svc,mssql_svc,mssqlserver.vulnad.local
http_svc$,http_svc,http_svc,httpserver.vulnad.local
exchange_svc$,exchange_svc,exchange_svc,exserver.vulnad.local
