ObjectClass,Name,whenCreated,whenChanged,DistinguishedName
"top, dMD",Schema,1/28/2024 10:47:23 PM,2/14/2024 10:48:16 PM,
"top, attributeSchema",FRS-Extensions,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Resultant-PSO,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-QueryLanguage,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Public-Key-Policy,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Reconnection-Action,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Fault-Condition,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Password-Settings-Precedence,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-ScopeGuid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Purported-Search,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Broken-Connection-Action,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Category-Registration,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",MSMQ-Settings,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-File-Filter,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Max-Values,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-SourceOrganization,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Pwd-History-Length,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Connect-Client-Drives,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Flags,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Members-For-Az-Role,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-stringDefault,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Pwd-Last-Set,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Connect-Printer-Drives,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Certification-Authority,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",MSMQ-Site-Link,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Level-Limit,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Members-For-Az-Role-BL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-stringValidValues,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Pwd-Properties,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Default-To-Main-Printer,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Member-Reference,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-NC-Type,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-TargetClass,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Quality-Of-Service,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Work-Directory,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Class-Registration,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",NTDS-Connection,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Organization,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Member-Reference-BL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Non-Members,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-TargetNameSpace,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Query-Filter,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Initial-Program,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Partner-Auth-Level,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Non-Members-BL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-TargetObject,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Query-Policy-BL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Endpoint-Data,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",NTDS-DSA,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Primary-Member,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Phonetic-First-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-TargetPath,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Query-Policy-Object,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Endpoint-Type,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Class-Store,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",NTDS-DSA-RO,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Replica-Set-GUID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Phonetic-Last-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-WMI-TargetType,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",QueryPoint,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Endpoint-Plugin,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",DMD,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Replica-Set-Type,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Phonetic-Department,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Mscope-Id,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Range-Lower,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Primary-Desktop,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Com-Connection-Point,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",NTDS-Service,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, subSchema",Aggregate,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",FRS-Root-Path,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Phonetic-Company-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Msi-File-List,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Range-Upper,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Secondary-Desktops,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",SubSchema,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",FRS-Root-Security,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-Phonetic-Display-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Msi-Script,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",RDN,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Primary-Desktop-BL,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Computer,11/10/2017 7:25:45 PM,2/14/2024 10:48:16 PM,
"top, classSchema",NTDS-Site-Settings,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Account-Expires,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",FRS-Service-Command,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DS-HAB-Seniority-Index,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Msi-Script-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",RDN-Att-ID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TS-Secondary-Desktop-BL,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Attribute-Schema,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
